authorName;bookTitle;links;avg_rating;ratings;published;edition;rank
Tommy Madison;The FEAR-19 Pandemic: How lies, damn lies, and fake statistics created a pandemic of fear that spread faster and created more damage than COVID-19 ever could have by itself.;https://www.goodreads.com/book/show/53956343-the-fear-19-pandemic;4,43;44;NA;1;196
Seymour Lipschutz;Schaum's Outline of Introduction to Probability and Statistics;https://www.goodreads.com/book/show/728297.Schaum_s_Outline_of_Introduction_to_Probability_and_Statistics;4,25;53;1998;6;197
William M. Bolstad;Introduction to Bayesian Statistics;https://www.goodreads.com/book/show/2378169.Introduction_to_Bayesian_Statistics;3,69;51;2004;15;198
R.P. Hooda;Statistics for Business and Economics;https://www.goodreads.com/book/show/30813501-statistics-for-business-and-economics;4,47;15;NA;1;199
Boris Starling;The Official History of Britain: Our Story in Numbers as Told by the Office For National Statistics;https://www.goodreads.com/book/show/55673763-the-official-history-of-britain;3,63;111;NA;4;200
Joseph Adler;Baseball Hacks: Tips & Tools for Analyzing and Winning with Statistics;https://www.goodreads.com/book/show/103447.Baseball_Hacks;3,49;96;2006;6;201
Alexander M. Mood;Introduction to the Theory of Statistics;https://www.goodreads.com/book/show/2765702-introduction-to-the-theory-of-statistics;3,82;39;1974;4;202
Alan Agresti;Statistics: The Art and Science of Learning from Data;https://www.goodreads.com/book/show/2398581.Statistics;3,21;96;2006;46;204
Larry Wasserman;All of Nonparametric Statistics;https://www.goodreads.com/book/show/411721.All_of_Nonparametric_Statistics;4,09;34;2005;4;205
Janet Crawshaw;Nelson Probability and Statistics 1 for Cambridge International a Level;https://www.goodreads.com/book/show/23066795-nelson-probability-and-statistics-1-for-cambridge-international-a-level;3,91;11;2012;1;207
Gerald Keller;Managerial Statistics;https://www.goodreads.com/book/show/9136197-managerial-statistics;3,56;34;2008;7;208
Ronald E. Walpole;Student's Solutions Supplement To Accompany Probability And Statistics For Engineers And Scientists;https://www.goodreads.com/book/show/245950.Student_s_Solutions_Supplement_To_Accompany_Probability_And_Statistics_For_Engineers_And_Scientists;4,19;64;NA;1;209
Douglas G. Altman;Practical Statistics for Medical Research;https://www.goodreads.com/book/show/1605760.Practical_Statistics_for_Medical_Research;3,81;27;1990;5;210
David Robinson;Introduction to Empirical Bayes: Examples from Baseball Statistics;https://www.goodreads.com/book/show/34224611-introduction-to-empirical-bayes;4,59;44;NA;2;211
Nicholas J. Gotelli;A Primer of Ecological Statistics;https://www.goodreads.com/book/show/340007.A_Primer_of_Ecological_Statistics;4,18;115;2004;2;212
Dennis E. Hinkle;Applied Statistics for the Behavioral Sciences;https://www.goodreads.com/book/show/204160.Applied_Statistics_for_the_Behavioral_Sciences;3,14;51;1979;8;213
Alan Agresti;Categorical Data Analysis (Wiley Series in Probability and Statistics);https://www.goodreads.com/book/show/1150027.Categorical_Data_Analysis;4,24;74;1990;12;215
John E. Freund;Modern Elementary Statistics;https://www.goodreads.com/book/show/1501338.Modern_Elementary_Statistics;3,72;25;1952;23;216
David M. Levine;Statistics for Managers Using Excel [with Student CD];https://www.goodreads.com/book/show/937070.Statistics_for_Managers_Using_Excel_with_Student_CD_;3,37;162;1997;58;217
Michael Sullivan III;Fundamentals of Statistics;https://www.goodreads.com/book/show/8398513-fundamentals-of-statistics;3,00;75;1900;36;218
Michael J. Crawley;Statistics: An Introduction Using R;https://www.goodreads.com/book/show/14819.Statistics;3,79;113;2005;14;220
Warren Brussee;Statistics for Six SIGMA Made Easy;https://www.goodreads.com/book/show/6803.Statistics_for_Six_SIGMA_Made_Easy;3,66;103;2004;14;221
Arthur Zhang;Data Analytics: Practical Guide to Leveraging the Power of Algorithms, Data Science, Data Mining, Statistics, Big Data, and Predictive Analysis to Improve Business, Work, and Life;https://www.goodreads.com/book/show/34536607-data-analytics;3,32;28;NA;2;222
Arnab Chakraborty;Probability And Statistics (Bengali) Pb;https://www.goodreads.com/book/show/37506370-probability-and-statistics-bengali-pb;3,30;10;NA;1;223
Barbara Illowsk;Introductory Statistics;https://www.goodreads.com/book/show/36479758-introductory-statistics;3,67;21;NA;1;224
Gabriel B. Costa;Understanding Sabermetrics: An Introduction to the Science of Baseball Statistics;https://www.goodreads.com/book/show/3166570-understanding-sabermetrics;3,69;81;2007;4;225
Deborah J. Rumsey;Intermediate Statistics for Dummies;https://www.goodreads.com/book/show/340013.Intermediate_Statistics_for_Dummies;3,58;38;2007;2;226
David S. Moore;The Basic Practice of Statistics;https://www.goodreads.com/book/show/1237797.The_Basic_Practice_of_Statistics;3,25;186;1995;214;227
Mario F. Triola;Essentials of Statistics;https://www.goodreads.com/book/show/8222649-essentials-of-statistics;3,47;106;2001;45;229
Prem S. Mann;Student Solutions Manual to Accompany Introductory Statistics;https://www.goodreads.com/book/show/13257534-student-solutions-manual-to-accompany-introductory-statistics;4,14;28;2003;1;230
Marek Fisz;Probability Theory And Mathematical Statistics;https://www.goodreads.com/book/show/2787402-probability-theory-and-mathematical-statistics;4,21;28;1963;2;231
Betty R. Kirkwood;Essential Medical Statistics;https://www.goodreads.com/book/show/727593.Essential_Medical_Statistics;4,12;51;2001;4;232
Paul Goodwin;Something Doesn’t Add Up: Surviving Statistics in a Post-Truth World;https://www.goodreads.com/book/show/51736604-something-doesn-t-add-up;3,89;35;2020;3;234
Bradley Efron;Computer Age Statistical Inference: Algorithms, Evidence, and Data Science (Institute of Mathematical Statistics Monographs Book 5);https://www.goodreads.com/book/show/31748608-computer-age-statistical-inference;4,41;108;NA;4;235
Michael B. Miller;Mathematics and Statistics for Financial Risk Management;https://www.goodreads.com/book/show/17941541-mathematics-and-statistics-for-financial-risk-management;4,38;29;2012;13;236
Greg Attwood;Edexcel AS and A Level Modular Mathematics Statistics 2 S2;https://www.goodreads.com/book/show/7955034-edexcel-as-and-a-level-modular-mathematics-statistics-2-s2;3,86;22;NA;1;237
J.K. Sharma;Business Statistics: Problems & Solutions;https://www.goodreads.com/book/show/31436021-business-statistics;3,76;21;2010;3;238
Graham J.G. Upton;Understanding Statistics;https://www.goodreads.com/book/show/2806804-understanding-statistics;3,53;17;2003;2;239
F.M. Dekking;A Modern Introduction to Probability and Statistics: Understanding Why and How;https://www.goodreads.com/book/show/2115634.A_Modern_Introduction_to_Probability_and_Statistics;3,75;52;2006;4;240
For Dummies;Statistics: 1,001 Practice Problems For Dummies (+ Free Online Practice) (For Dummies;https://www.goodreads.com/book/show/23844385-statistics;3,85;13;2014;4;242
William Briggs;Uncertainty: The Soul of Modeling, Probability & Statistics;https://www.goodreads.com/book/show/30088204-uncertainty;4,05;20;NA;3;243
Mark Armour;Baseball Prospectus 2006: Statistics, Analysis, and Insight for the Information Age;https://www.goodreads.com/book/show/8684.Baseball_Prospectus_2006;4,33;102;2006;1;244
Michael Baron;Probability and Statistics for Computer Scientists;https://www.goodreads.com/book/show/611275.Probability_and_Statistics_for_Computer_Scientists;3,87;39;2006;9;245
Richard J. Larsen;An Introduction to Mathematical Statistics and Its Applications;https://www.goodreads.com/book/show/115111.An_Introduction_to_Mathematical_Statistics_and_Its_Applications;3,67;49;1981;15;246
B. Burt Gerstman;Basic Biostatistics: Statistics for Public Health Practice;https://www.goodreads.com/book/show/1825055.Basic_Biostatistics;3,54;26;2007;3;247
Lloyd R. Jaisingh;Statistics for the Utterly Confused;https://www.goodreads.com/book/show/340018.Statistics_for_the_Utterly_Confused;3,63;93;2005;11;248
CK-12 Foundation;CK-12 Probability and Statistics - Basic;https://www.goodreads.com/book/show/18526607-ck-12-probability-and-statistics---basic;3,71;24;2012;1;249
Alberto León García;Probability, Statistics, and Random Processes for Electrical Engineering;https://www.goodreads.com/book/show/3383542-probability-statistics-and-random-processes-for-electrical-engineering;3,59;56;2007;9;250
Deborah J. Rumsey;Statistics Workbook for Dummies;https://www.goodreads.com/book/show/339986.Statistics_Workbook_for_Dummies;3,61;57;2005;6;251
Amir D. Aczel;Complete Business Statistics;https://www.goodreads.com/book/show/3004854-complete-business-statistics;3,66;41;1989;25;252
John Verzani;Using R for Introductory Statistics;https://www.goodreads.com/book/show/860280.Using_R_for_Introductory_Statistics;3,93;57;2004;9;253
David Ruppert;Statistics and Data Analysis for Financial Engineering;https://www.goodreads.com/book/show/10082197-statistics-and-data-analysis-for-financial-engineering;3,89;36;2010;5;254
Mark L. Berenson;Basic Business Statistics: Concepts and Applications [with CD];https://www.goodreads.com/book/show/340020.Basic_Business_Statistics;3,61;70;1979;81;255
Ron Cody;SAS Statistics by Example;https://www.goodreads.com/book/show/12848310-sas-statistics-by-example;4,02;50;2011;5;257
Josefina Venegas Almeda;Elementary Statistics;https://www.goodreads.com/book/show/26229845-elementary-statistics;4,00;20;2010;1;258
Andre Francis;Business Mathematics and Statistics;https://www.goodreads.com/book/show/9970511-business-mathematics-and-statistics;3,79;14;2004;1;259
Steven Cooper;Data Science from Scratch: The #1 Data Science Guide for Everything A Data Scientist Needs to Know: Python, Linear Algebra, Statistics, Coding, Applications, Neural Networks, and Decision Tree;https://www.goodreads.com/book/show/40900597-data-science-from-scratch;2,81;31;NA;4;260
Ajit C. Tamhane;Statistics and Data Analysis: From Elementary to Intermediate;https://www.goodreads.com/book/show/2119741.Statistics_and_Data_Analysis;3,93;28;1999;1;261
Laurence G. Grimm;Reading & Understanding Multivariate Statistics;https://www.goodreads.com/book/show/340003.Reading_Understanding_Multivariate_Statistics;3,67;67;1995;1;262
Sheldon M. Ross;Introduction to Probability and Statistics for Engineers and Scientists [With CDROM];https://www.goodreads.com/book/show/223843.Introduction_to_Probability_and_Statistics_for_Engineers_and_Scientists_With_CDROM_;3,56;50;1987;23;263
James T. McClave;Statistics;https://www.goodreads.com/book/show/1361689.Statistics;3,26;68;1988;51;264
William Mendenhall;Introduction to Probability and Statistics/Solution Manual;https://www.goodreads.com/book/show/6238351-introduction-to-probability-and-statistics-solution-manual;4,50;10;1990;1;265
Joseph F. Healey;Statistics: A Tool for Social Research;https://www.goodreads.com/book/show/6004867-statistics;3,17;90;1990;31;266
Jim Fowler;Practical Statistics for Field Biology;https://www.goodreads.com/book/show/652429.Practical_Statistics_for_Field_Biology;3,79;63;1990;8;267
Maggie Walter;Indigenous Statistics: A Quantitative Research Methodology;https://www.goodreads.com/book/show/18356346-indigenous-statistics;4,53;32;2013;8;268
Evelyn Marcussen Hatch;Research Design and Statistics for Applied Linguistics;https://www.goodreads.com/book/show/4791721-research-design-and-statistics-for-applied-linguistics;3,82;22;1982;1;269
Douglas A. Lind;Basic Statistics for Business and Economics [with Formula Card];https://www.goodreads.com/book/show/8542231-basic-statistics-for-business-and-economics-with-formula-card;3,23;91;1994;74;270
Chi Yau;R Tutorial with Bayesian Statistics Using OpenBUGS;https://www.goodreads.com/book/show/18883646-r-tutorial-with-bayesian-statistics-using-openbugs;4,00;13;2013;1;271
Allan G. Bluman;Student Solutions Manual for Use with Elementary Statistics: A Step by Step Approach;https://www.goodreads.com/book/show/2462457.Student_Solutions_Manual_for_Use_with_Elementary_Statistics;4,00;13;1994;8;272
Arnold O. Allen;Probability, Statistics, and Queuing Theory With Computer Science Applications (Computer Science and Scientific Computing);https://www.goodreads.com/book/show/3498518-probability-statistics-and-queuing-theory-with-computer-science-applic;4,14;14;1978;3;275
James R. Evans;Statistics, Data Analysis & Decision Modeling;https://www.goodreads.com/book/show/7587288-statistics-data-analysis-decision-modeling;3,68;68;1999;14;276
Arunabh Ghosh;Making It Count: Statistics and Statecraft in the Early People's Republic of China;https://www.goodreads.com/book/show/49228856-making-it-count;4,06;18;NA;4;277
Anthony J. Hayter;Probability and Statistics for Engineers and Scientists;https://www.goodreads.com/book/show/12767067-probability-and-statistics-for-engineers-and-scientists;4,12;32;1996;10;278
Richard Hamming;Methods of Mathematics Applied to Calculus, Probability, and Statistics;https://www.goodreads.com/book/show/2254983.Methods_of_Mathematics_Applied_to_Calculus_Probability_and_Statistics;4,24;17;1985;5;279
Hubert M. Blalock Jr.;Social Statistics;https://www.goodreads.com/book/show/3558157-social-statistics;3,20;25;1972;2;280
W.N. Venables;Modern Applied Statistics with S;https://www.goodreads.com/book/show/856220.Modern_Applied_Statistics_with_S;3,82;44;2002;4;282
Denise F. Polit;Statistics and Data Analysis for Nursing Research;https://www.goodreads.com/book/show/7142089-statistics-and-data-analysis-for-nursing-research;3,60;43;2009;2;284
Stan Gibilisco;Statistics Demystified;https://www.goodreads.com/book/show/1854614.Statistics_Demystified;3,18;40;2004;9;286
John E. Freund;Mathematical Statistics;https://www.goodreads.com/book/show/2332808.Mathematical_Statistics;3,54;24;1963;8;287
David C. Howell;Fundamental Statistics for the Behavioral Sciences;https://www.goodreads.com/book/show/532431.Fundamental_Statistics_for_the_Behavioral_Sciences;3,28;92;1989;35;288
Ida B. Wells-Barnett;Mob Rule in New Orleans Robert Charles and His Fight to Death, the Story of His Life, Burning Human Beings Alive, Other Lynching Statistics;https://www.goodreads.com/book/show/19076054-mob-rule-in-new-orleans-robert-charles-and-his-fight-to-death-the-story;4,08;118;1900;58;289
Terry E. Dielman;Applied Regression Analysis: A Second Course in Business and Economic Statistics with CD-ROM and InfoTrac (Applied Regression Analysis: A Second Course in Business & Economic);https://www.goodreads.com/book/show/1827767.Applied_Regression_Analysis;3,00;26;2004;2;290
Angus Maddison;The World Economy: A Millennial Perspective/ Historical Statistics;https://www.goodreads.com/book/show/913291.The_World_Economy;4,44;16;2007;4;291
Robert S. Witte;Statistics;https://www.goodreads.com/book/show/8054455-statistics;3,09;45;1989;29;292
Issa Bass;Six Sigma Statistics with EXCEL and MINITAB;https://www.goodreads.com/book/show/1054085.Six_Sigma_Statistics_with_EXCEL_and_MINITAB;3,60;35;2007;32;293
Kishor Shridharbhai Trivedi;Probability and Statistics with Reliability, Queuing, and Computer Science Applications;https://www.goodreads.com/book/show/1712460.Probability_and_Statistics_with_Reliability_Queuing_and_Computer_Science_Applications;4,08;12;2001;1;294
P.R. Vittal;Business Statistics;https://www.goodreads.com/book/show/34560161-business-statistics;3,92;12;NA;1;296
